side,horizon,mean_ret,n_events
long,1,0.0002325919925343367,2
short,1,-0.00026582047149914523,1
long,5,0.012482417427645554,2
short,5,-0.012493562160455829,1
long,10,0.0192552639563498,2
short,10,-0.019271984183681923,1
